Timestamp,Session_ID,Fruit_ID,Quality,Area,Status
17:44:55,20260401_174310,139,20.5,311364,REJECT
17:44:55,20260401_174310,140,40.7,336400,LOW
17:44:56,20260401_174310,141,14.8,309136,REJECT
17:44:59,20260401_174310,142,39.9,329476,REJECT
17:45:01,20260401_174310,143,29.8,341056,REJECT
17:45:04,20260401_174310,144,32.2,338724,REJECT
17:45:04,20260401_174310,145,20.0,302500,REJECT
17:45:05,20260401_174310,146,40.0,343396,REJECT
17:45:05,20260401_174310,147,14.2,306916,REJECT
17:45:10,20260401_174310,148,31.4,334084,REJECT
17:45:12,20260401_174310,149,43.0,324900,LOW
17:45:15,20260401_174310,150,43.1,336400,LOW
17:45:15,20260401_174310,151,15.2,306916,REJECT
17:45:22,20260401_174310,152,34.7,320356,REJECT
17:45:32,20260401_174310,153,34.1,329476,REJECT
17:45:32,20260401_174310,154,13.3,302500,REJECT
17:45:58,20260401_174310,155,34.9,20164,REJECT
17:45:59,20260401_174310,156,19.4,306916,REJECT
17:45:59,20260401_174310,157,47.5,13456,LOW
17:46:00,20260401_174310,158,38.3,350464,REJECT
17:46:00,20260401_174310,159,19.8,302500,REJECT
17:46:03,20260401_174310,160,38.2,338724,REJECT
17:46:03,20260401_174310,161,23.1,302500,REJECT
17:46:05,20260401_174310,162,21.5,306916,REJECT
17:46:07,20260401_174310,163,20.9,298116,REJECT
17:46:09,20260401_174310,164,39.7,338724,REJECT
17:46:09,20260401_174310,165,20.4,306916,REJECT
17:46:09,20260401_174310,166,38.2,338724,REJECT
17:46:10,20260401_174310,167,20.8,298116,REJECT
17:46:10,20260401_174310,168,42.1,348100,LOW
17:46:11,20260401_174310,169,17.1,302500,REJECT
17:46:14,20260401_174310,170,35.9,336400,REJECT
17:46:14,20260401_174310,171,15.2,306916,REJECT
17:46:15,20260401_174310,172,20.3,302500,REJECT
17:46:15,20260401_174310,173,46.7,334084,LOW
17:46:16,20260401_174310,174,17.9,293764,REJECT
17:46:17,20260401_174310,175,38.3,352836,REJECT
17:46:18,20260401_174310,176,19.6,306916,REJECT
17:46:19,20260401_174310,177,31.9,334084,REJECT
17:46:19,20260401_174310,178,18.2,306916,REJECT
17:46:21,20260401_174310,179,39.9,343396,REJECT
17:46:21,20260401_174310,180,17.4,304704,REJECT
17:46:21,20260401_174310,181,48.6,331776,LOW
17:46:22,20260401_174310,182,18.7,300304,REJECT
17:46:23,20260401_174310,183,30.4,352836,REJECT
17:46:23,20260401_174310,184,22.7,300304,REJECT
17:46:25,20260401_174310,185,45.8,345744,LOW
17:46:26,20260401_174310,186,20.0,300304,REJECT
17:46:26,20260401_174310,187,35.5,360000,REJECT
17:46:27,20260401_174310,188,52.7,348100,LOW
17:46:27,20260401_174310,189,18.9,306916,REJECT
17:46:28,20260401_174310,190,42.0,19600,LOW
17:46:29,20260401_174310,191,32.5,336400,REJECT
17:46:30,20260401_174310,192,44.2,336400,LOW
17:46:30,20260401_174310,193,18.4,300304,REJECT
17:46:32,20260401_174310,194,35.0,327184,REJECT
17:46:32,20260401_174310,195,22.3,302500,REJECT
17:46:36,20260401_174310,196,31.7,327184,REJECT
17:46:37,20260401_174310,197,15.9,293764,REJECT
17:46:40,20260401_174310,198,35.4,348100,REJECT
17:46:40,20260401_174310,199,18.5,304704,REJECT
17:46:42,20260401_174310,200,37.5,336400,REJECT
17:46:42,20260401_174310,201,13.8,298116,REJECT
17:46:44,20260401_174310,202,23.0,343396,REJECT
17:46:46,20260401_174310,203,32.2,334084,REJECT
17:46:47,20260401_174310,204,19.3,300304,REJECT
