Date,Time,Millis,Sensor1,Sensor2
2026-03-25,21:09:00,794000,928,1235
2026-03-25,21:09:02,796000,911,1214
2026-03-25,21:09:04,798000,901,1226
2026-03-25,21:09:06,800000,916,1231
2026-03-25,21:09:08,802000,910,1231
2026-03-25,21:09:10,804000,899,1210
2026-03-25,21:09:12,806000,901,1232
2026-03-25,21:09:14,808000,899,1230
2026-03-25,21:09:16,810000,924,1215
2026-03-25,21:09:18,812000,903,1260
2026-03-25,21:09:20,814000,907,1206
2026-03-25,21:09:22,816000,912,1233
2026-03-25,21:09:24,818000,920,1227
2026-03-25,21:09:26,820000,913,1223
2026-03-25,21:09:28,822000,896,1221
2026-03-25,21:09:30,824000,912,1121
2026-03-25,21:09:32,826000,914,1219
2026-03-25,21:09:34,828000,911,1227
2026-03-25,21:09:36,830000,904,1232
2026-03-25,21:09:38,832000,916,1215
2026-03-25,21:09:40,834000,911,1232
2026-03-25,21:09:42,836000,923,1230
2026-03-25,21:09:44,838000,906,1227
2026-03-25,21:09:46,840000,913,1223
2026-03-25,21:09:48,842000,906,1214
2026-03-25,21:09:50,844000,901,1221
2026-03-25,21:09:52,846000,822,1217
2026-03-25,21:09:54,848000,887,1232
2026-03-25,21:09:56,850000,895,1227
2026-03-25,21:09:58,852000,889,1229
2026-03-25,21:10:00,854000,901,1250
2026-03-25,21:10:02,856000,897,1230
2026-03-25,21:10:04,858000,910,1276
2026-03-25,21:10:06,860000,901,1217
2026-03-25,21:10:08,862000,941,1228
2026-03-25,21:10:10,864000,897,1215
2026-03-25,21:10:12,866000,911,1214
2026-03-25,21:10:14,868000,880,1225
2026-03-25,21:10:16,870000,912,1231
2026-03-25,21:10:18,872000,907,1199
2026-03-25,21:10:20,874000,910,1214
2026-03-25,21:10:22,876000,901,1217
2026-03-25,21:10:24,878000,902,1248
2026-03-25,21:10:26,880000,899,1211
2026-03-25,21:10:28,882000,896,1212
2026-03-25,21:10:30,884000,896,1217
2026-03-25,21:10:32,886000,913,1226
2026-03-25,21:10:34,888000,898,1214
2026-03-25,21:10:36,890000,829,1139
2026-03-25,21:10:38,892000,820,1137
2026-03-25,21:10:40,894000,829,1148
2026-03-25,21:10:42,896000,848,1162
2026-03-25,21:10:44,898000,840,1167
2026-03-25,21:10:46,900000,828,1167
2026-03-25,21:10:48,902000,828,1126
2026-03-25,21:10:50,904000,807,1121
2026-03-25,21:10:52,906000,815,1143
2026-03-25,21:10:54,908000,812,1123
2026-03-25,21:10:56,910000,810,1114
2026-03-25,21:10:58,912000,750,1121
2026-03-25,21:11:00,914000,819,1143
2026-03-25,21:11:02,916000,803,1091
2026-03-25,21:11:04,918000,858,1206
2026-03-25,21:11:06,920000,870,1199
2026-03-25,21:11:08,922000,885,1208
2026-03-25,21:11:10,924000,891,1210
2026-03-25,21:11:12,926000,901,1187
2026-03-25,21:11:14,928000,912,1222
2026-03-25,21:11:16,930000,901,1226
2026-03-25,21:11:18,932000,857,1230
2026-03-25,21:11:20,934000,906,1230
2026-03-25,21:11:22,936000,894,1230
2026-03-25,21:11:24,938000,915,1223
2026-03-25,21:11:26,940000,909,1223
2026-03-25,21:11:28,942000,919,1223
2026-03-25,21:11:30,944000,912,1232
2026-03-25,21:11:32,946000,912,1228
2026-03-25,21:11:34,948000,912,1241
2026-03-25,21:11:36,950000,912,1232
2026-03-25,21:11:38,952000,913,1233
2026-03-25,21:11:40,954000,918,1232
2026-03-25,21:11:42,956000,898,1234
2026-03-25,21:11:44,958000,909,1235
2026-03-25,21:11:46,960000,912,1255
2026-03-25,21:11:48,962000,903,1236
2026-03-25,21:11:50,964000,915,1243
2026-03-25,21:11:52,966000,942,1223
2026-03-25,21:11:54,968000,927,1236
2026-03-25,21:11:56,970000,895,1233
2026-03-25,21:11:58,972000,911,1236
2026-03-25,21:12:00,974000,911,1237
2026-03-25,21:12:02,976000,916,1247
2026-03-25,21:12:04,978000,903,1239
2026-03-25,21:12:06,980000,905,1250
2026-03-25,21:12:08,982000,960,1243
2026-03-25,21:12:10,984000,896,1238
2026-03-25,21:12:12,986000,896,1238
2026-03-25,21:12:14,988000,913,1235
2026-03-25,21:12:16,990000,907,1247
2026-03-25,21:12:18,992000,912,1237
2026-03-25,21:12:20,994000,907,1168
2026-03-25,21:12:22,996000,912,1241
2026-03-25,21:12:24,998000,912,1245
2026-03-25,21:12:26,1000000,904,1239
2026-03-25,21:12:28,1002000,899,1253
2026-03-25,21:12:30,1004000,912,1238
2026-03-25,21:12:32,1006000,901,1247
2026-03-25,21:12:34,1008000,908,1234
2026-03-25,21:12:36,1010000,912,1246
2026-03-25,21:12:38,1012000,914,1286
2026-03-25,21:12:40,1014000,914,1246
2026-03-25,21:12:42,1016000,923,1245
2026-03-25,21:12:44,1018000,909,1255
2026-03-25,21:12:46,1020000,909,1243
2026-03-25,21:12:48,1022000,906,1239
2026-03-25,21:12:50,1024000,906,1258
2026-03-25,21:12:52,1026000,916,1241
2026-03-25,21:12:54,1028000,897,1232
2026-03-25,21:12:56,1030000,895,1235
2026-03-25,21:12:58,1032000,911,1243
2026-03-25,21:13:00,1034000,906,1229
2026-03-25,21:13:02,1036000,929,1243
2026-03-25,21:13:04,1038000,908,1247
2026-03-25,21:13:06,1040000,909,1232
2026-03-25,21:13:08,1042000,912,1243
2026-03-25,21:13:10,1044000,902,1241
2026-03-25,21:13:12,1046000,909,1250
2026-03-25,21:13:14,1048000,912,1327
2026-03-25,21:13:16,1050000,910,1249
2026-03-25,21:13:18,1052000,917,1243
2026-03-25,21:13:20,1054000,911,1237
2026-03-25,21:13:22,1056000,896,1238
2026-03-25,21:13:24,1058000,898,1237
2026-03-25,21:13:26,1060000,913,1245
2026-03-25,21:13:28,1062000,869,1240
2026-03-25,21:13:30,1064000,914,1242
2026-03-25,21:13:32,1066000,908,1238
2026-03-25,21:13:34,1068000,898,1277
2026-03-25,21:13:36,1070000,915,1248
2026-03-25,21:13:38,1072000,903,1255
2026-03-25,21:13:40,1074000,905,1248
2026-03-25,21:13:42,1076000,912,1250
2026-03-25,21:13:44,1078000,901,1257
2026-03-25,21:13:46,1080000,887,1249
2026-03-25,21:13:48,1082000,902,1255
2026-03-25,21:13:50,1084000,896,1251
2026-03-25,21:13:52,1086000,880,1219
2026-03-25,21:13:54,1088000,907,1264
2026-03-25,21:13:56,1090000,912,1251
2026-03-25,21:13:58,1092000,894,1253
2026-03-25,21:14:00,1094000,911,1248
2026-03-25,21:14:02,1096000,895,1240
2026-03-25,21:14:04,1098000,907,1255
2026-03-25,21:14:06,1100000,845,1251
2026-03-25,21:14:08,1102000,898,1262
2026-03-25,21:14:10,1104000,896,1255
2026-03-25,21:14:12,1106000,905,1250
2026-03-25,21:14:14,1108000,907,1246
2026-03-25,21:14:16,1110000,897,1232
2026-03-25,21:14:18,1112000,891,1233
2026-03-25,21:14:20,1114000,896,1258
2026-03-25,21:14:22,1116000,905,1259
2026-03-25,21:14:24,1118000,895,1250
2026-03-25,21:14:26,1120000,908,1277
2026-03-25,21:14:28,1122000,899,1250
2026-03-25,21:14:30,1124000,895,1264
2026-03-25,21:14:32,1126000,895,1240
2026-03-25,21:14:34,1128000,892,1251
2026-03-25,21:14:36,1130000,911,1258
2026-03-25,21:14:38,1132000,898,1263
2026-03-25,21:14:40,1134000,896,1254
2026-03-25,21:14:42,1136000,908,1257
2026-03-25,21:14:44,1138000,892,1241
2026-03-25,21:14:46,1140000,905,1253
2026-03-25,21:14:48,1142000,891,1232
2026-03-25,21:14:50,1144000,908,1248
2026-03-25,21:14:52,1146000,892,1250
2026-03-25,21:14:54,1148000,909,1248
2026-03-25,21:14:56,1150000,896,1259
2026-03-25,21:14:58,1152000,901,1247
2026-03-25,21:15:00,1154000,904,1265
2026-03-25,21:15:02,1156000,910,1259
2026-03-25,21:15:04,1158000,905,1257
2026-03-25,21:15:06,1160000,939,1251
2026-03-25,21:15:08,1162000,901,1263
2026-03-25,21:15:10,1164000,905,1251
2026-03-25,21:15:12,1166000,882,1253
2026-03-25,21:15:14,1168000,896,1245
2026-03-25,21:15:16,1170000,907,1261
2026-03-25,21:15:18,1172000,895,1253
2026-03-25,21:15:20,1174000,879,1235
2026-03-25,21:15:22,1176000,892,1254
2026-03-25,21:15:24,1178000,894,1247
2026-03-25,21:15:26,1180000,893,1218
2026-03-25,21:15:28,1182000,894,1264
2026-03-25,21:15:30,1184000,894,1259
2026-03-25,21:15:32,1186000,914,1263
2026-03-25,21:15:34,1188000,884,1249
2026-03-25,21:15:36,1190000,829,1246
2026-03-25,21:15:38,1192000,883,1251
2026-03-25,21:15:40,1194000,893,1239
2026-03-25,21:15:42,1196000,875,1247
2026-03-25,21:15:44,1198000,937,1253
2026-03-25,21:15:46,1200000,878,1256
2026-03-25,21:15:48,1202000,895,1249
2026-03-25,21:15:50,1204000,878,1252
2026-03-25,21:15:52,1206000,895,1261
2026-03-25,21:15:54,1208000,882,1254
2026-03-25,21:15:56,1210000,889,1255
2026-03-25,21:15:58,1212000,905,1261
2026-03-25,21:16:00,1214000,890,1264
2026-03-25,21:16:02,1216000,883,1263
2026-03-25,21:16:04,1218000,892,1251
2026-03-25,21:16:06,1220000,896,1249
2026-03-25,21:16:08,1222000,880,1246
2026-03-25,21:16:10,1224000,890,1243
2026-03-25,21:16:12,1226000,865,1257
2026-03-25,21:16:14,1228000,886,1264
2026-03-25,21:16:16,1230000,895,1259
2026-03-25,21:16:18,1232000,880,1260
2026-03-25,21:16:20,1234000,879,1253
2026-03-25,21:16:22,1236000,875,1249
2026-03-25,21:16:24,1238000,878,1263
2026-03-25,21:16:26,1240000,886,1253
2026-03-25,21:16:28,1242000,897,1256
2026-03-25,21:16:30,1244000,906,1262
2026-03-25,21:16:32,1246000,893,1261
2026-03-25,21:16:34,1248000,883,1248
2026-03-25,21:16:36,1250000,895,1261
2026-03-25,21:16:38,1252000,903,1247
2026-03-25,21:16:40,1254000,895,1259
2026-03-25,21:16:42,1256000,881,1344
2026-03-25,21:16:44,1258000,895,1259
2026-03-25,21:16:46,1260000,875,1253
2026-03-25,21:16:48,1262000,882,1258
2026-03-25,21:16:50,1264000,870,1247
2026-03-25,21:16:52,1266000,877,1264
2026-03-25,21:16:54,1268000,883,1249
2026-03-25,21:16:56,1270000,912,1234
2026-03-25,21:16:58,1272000,889,1253
2026-03-25,21:17:00,1274000,875,1253
2026-03-25,21:17:02,1276000,881,1255
2026-03-25,21:17:04,1278000,878,1253
2026-03-25,21:17:06,1280000,889,1259
2026-03-25,21:17:08,1282000,889,1263
2026-03-25,21:17:10,1284000,882,1251
2026-03-25,21:17:12,1286000,879,1254
2026-03-25,21:17:14,1288000,880,1258
2026-03-25,21:17:16,1290000,874,1255
2026-03-25,21:17:18,1292000,883,1267
2026-03-25,21:17:20,1294000,871,1250
2026-03-25,21:17:22,1296000,883,1249
2026-03-25,21:17:24,1298000,898,1250
2026-03-25,21:17:26,1300000,889,1225
2026-03-25,21:17:28,1302000,863,1251
2026-03-25,21:17:30,1304000,880,1264
2026-03-25,21:17:32,1306000,944,1260
2026-03-25,21:17:34,1308000,902,1249
2026-03-25,21:17:36,1310000,893,1264
2026-03-25,21:17:38,1312000,880,1262
2026-03-25,21:17:40,1314000,832,1254
2026-03-25,21:17:42,1316000,873,1262
2026-03-25,21:17:44,1318000,895,1259
2026-03-25,21:17:46,1320000,880,1610
2026-03-25,21:17:48,1322000,874,1232
2026-03-25,21:17:50,1324000,879,1262
2026-03-25,21:17:52,1326000,890,1264
2026-03-25,21:17:54,1328000,881,1258
2026-03-25,21:17:56,1330000,883,1254
2026-03-25,21:17:58,1332000,857,1267
2026-03-25,21:18:00,1334000,873,1262
2026-03-25,21:18:02,1336000,863,1266
2026-03-25,21:18:04,1338000,894,1260
2026-03-25,21:18:06,1340000,874,1251
2026-03-25,21:18:08,1342000,871,1237
2026-03-25,21:18:10,1344000,873,1262
2026-03-25,21:18:12,1346000,850,1259
